input-image,grayconverter,preprocess,halftone,postprocess,output-image
Arrows,GIMP,,FloydSteinberg:128,,Arrows_GIMP_FloydSteinberg
Arrows,GIMP,,FloydSteinberg:128,SaltPepper:1,Arrows_GIMP_FloydSteinberg_SaltPepper
Arrows,GIMP,,Jarvis:128,,Arrows_GIMP_Jarvis
Arrows,GIMP,,Ostromoukhov:128,,Arrows_GIMP_Ostromoukhov
Arrows,GIMP,,Atkinson:128,,Arrows_GIMP_Atkinson
Arrows,GIMP,Laplace,Random,,Arrows_GIMP_Laplace_Random
Arrows,GIMP,Laplace,FloydSteinberg:128,,Arrows_GIMP_Laplace_FloydSteinberg
Arrows,GIMP,MedLaplace,FloydSteinberg:128,,Arrows_GIMP_MedLaplace_FloydSteinberg
Arrows,GIMP,Laplace,Jarvis:128,,Arrows_GIMP_Laplace_Jarvis
Arrows,GIMP,Laplace,Ostromoukhov:128,,Arrows_GIMP_Laplace_Ostromoukhov
Arrows,GIMP,Median,FloydSteinberg:128,,Arrows_GIMP_Median_FloydSteinberg
Arrows,GIMP,Median,Jarvis:128,,Arrows_GIMP_Median_Jarvis
Arrows,GIMP,Median,Ostromoukhov:128,,Arrows_GIMP_Median_Ostromoukhov
Arrows,GIMP,,,,Arrows_GIMP
Arrows,GIMP,Median,,,Arrows_GIMP_Median
Arrows,GIMP,Laplace,,,Arrows_GIMP_Laplace
Arrows,GIMP,MedLaplace,,,Arrows_GIMP_MedLaplace
Arrows,GIMP,Edge:0.8,,,Arrows_GIMP_Edge
