#input-image,grayconverter,preprocess,halftone,postprocess,output-image
Conway1,GIMP,,,,Conway1_GIMP
Conway1,Helmholtz,,,,Conway1_Helm
Conway1,GIMP,MedLaplace,FloydSteinberg:194,,Conway1_GIMP_ML_FloydSteinberg
Conway1,Helmholtz,MedLaplace,FloydSteinberg:194,,Conway1_Helm_ML_FloydSteinberg
Conway1,Helmholtz,MedLaplace,FloydSteinberg:194,GameOfLife:1:1,Conway1_Helm_ML_FloydSteinberg_GoL1_1
Conway1,Helmholtz,MedLaplace,FloydSteinberg:194,GameOfLife:0:1,Conway1_Helm_ML_FloydSteinberg_GoL0_1
Conway1,Helmholtz,MedLaplace,FloydSteinberg:194,GameOfLife:1:2,Conway1_Helm_ML_FloydSteinberg_GoL1_2
Conway1,Helmholtz,MedLaplace,FloydSteinberg:194,GameOfLife:0:2,Conway1_Helm_ML_FloydSteinberg_GoL0_2
Conway1,Helmholtz,MedLaplace,FloydSteinberg:194,GameOfLife:1:3,Conway1_Helm_ML_FloydSteinberg_GoL1_3
Conway1,Helmholtz,MedLaplace,FloydSteinberg:194,GameOfLife:0:3,Conway1_Helm_ML_FloydSteinberg_GoL0_3
Conway1,Helmholtz,MedLaplace,FloydSteinberg:194,GameOfLife:1:4,Conway1_Helm_ML_FloydSteinberg_GoL1_4
Conway1,Helmholtz,MedLaplace,FloydSteinberg:194,GameOfLife:0:4,Conway1_Helm_ML_FloydSteinberg_GoL0_4
Conway1,Helmholtz,MedLaplace,FloydSteinberg:194,GameOfLife:1:5,Conway1_Helm_ML_FloydSteinberg_GoL1_5
Conway1,Helmholtz,MedLaplace,FloydSteinberg:194,GameOfLife:0:5,Conway1_Helm_ML_FloydSteinberg_GoL0_5
Conway1,Helmholtz,MedLaplace,FloydSteinberg:194,GameOfLife:1:6,Conway1_Helm_ML_FloydSteinberg_GoL1_6
Conway1,Helmholtz,MedLaplace,FloydSteinberg:194,GameOfLife:0:6,Conway1_Helm_ML_FloydSteinberg_GoL0_6

