input-image,grayconverter,preprocess,halftone,postprocess,output-image
Cube,GIMP,,FloydSteinberg:128,,Cube_GIMP_FloydSteinberg
Cube,GIMP,,FloydSteinberg:128,SaltPepper:1,Cube_GIMP_FloydSteinberg_SaltPepper
Cube,GIMP,,Jarvis:128,,Cube_GIMP_Jarvis
Cube,GIMP,,Ostromoukhov:128,,Cube_GIMP_Ostromoukhov
Cube,GIMP,,Bayer44,,Cube_GIMP_Bayer44
Cube,GIMP,,Bayer88,,Cube_GIMP_Bayer88
Cube,GIMP,,BayerRnd88:20,,Cube_GIMP_BayerRnd88
Cube,GIMP,,Threshold:128,,Cube_GIMP_Threshold
Cube,GIMP,,Random,,Cube_GIMP_Random
Cube,GIMP,,Atkinson:128,,Cube_GIMP_Atkinson
Cube,GIMP,,Sierra:128,,Cube_GIMP_Sierra
Cube,GIMP,Laplace,Random,,Cube_GIMP_Laplace_Random
Cube,GIMP,,Random,SaltPepper:1,Cube_GIMP_Random_SaltPepper
Cube,GIMP,Laplace,FloydSteinberg:128,,Cube_GIMP_Laplace_FloydSteinberg
Cube,GIMP,Laplace,Jarvis:128,,Cube_GIMP_Laplace_Jarvis
Cube,GIMP,Laplace,Ostromoukhov:128,,Cube_GIMP_Laplace_Ostromoukhov
Cube,GIMP,Laplace,Bayer44,,Cube_GIMP_Laplace_Bayer44
Cube,GIMP,Laplace,Bayer88,,Cube_GIMP_Laplace_Bayer88
Cube,GIMP,Laplace,Atkinson:128,,Cube_GIMP_Laplace_Atkinson
Cube,GIMP,Laplace,Sierra:128,,Cube_GIMP_Laplace_Sierra
Cube,GIMP,Median,FloydSteinberg:128,,Cube_GIMP_Median_FloydSteinberg
Cube,GIMP,Median,Jarvis:128,,Cube_GIMP_Median_Jarvis
Cube,GIMP,Median,Ostromoukhov:128,,Cube_GIMP_Median_Ostromoukhov
Cube,GIMP,Median,Bayer44,,Cube_GIMP_Median_Bayer44
Cube,GIMP,Median,Bayer88,,Cube_GIMP_Median_Bayer88
Cube,GIMP,,,,Cube_GIMP
Cube,GIMP,Median,,,Cube_GIMP_Median
Cube,GIMP,Laplace,,,Cube_GIMP_Laplace
