#input-image,grayconverter,preprocess,halftone,postprocess,output-image
House,GIMP,,,,House_GIMP
House,GIMP,Gauss5,,,House_GIMP_Gauss5
House,GIMP,MedLaplace,,Gauss7,House_GIMP_ML_Gauss7
House,GIMP,MedLaplace,OptFloydSteinberg,,House_GIMP_ML_OptFloydSteinberg
House,GIMP,MedLaplace,OptFloydSteinberg,Gauss7,House_GIMP_ML_OptFloydSteinberg_GA7
House,GIMP,Laplace,,,House_GIMP_Laplace
House,GIMP,Edge,,,House_GIMP_Edge
House,GIMP,Logistic,,,House_Log
House,GIMP,Median,,,House_Median
House,GIMP,Rescale,,,House_Rescale

