#input-image,grayconverter,preprocess,halftone,postprocess,output-image
Landscape,GIMP,MedLaplace,,Gauss7,Landscape_GIMP_ML_GA7
Landscape,GIMP,MedLaplace,OptOstromoukhov,,Landscape_GIMP_ML_OptOstrm
Landscape,GIMP,MedLaplace,OptJarvis,,Landscape_GIMP_ML_OptJarvis
Landscape,GIMP,MedLaplace,OptAtkinson,,Landscape_GIMP_ML_OptAtkinson
Landscape,GIMP,MedLaplace,OptFloydSteinberg,,Landscape_GIMP_ML_OptFloydSteinberg
Landscape,GIMP,MedLaplace,OptSierra,,Landscape_GIMP_ML_OptSierra
Landscape,GIMP,MedLaplace,OptOstromoukhov,Gauss7,Landscape_GIMP_ML_OptOstrm_GA7
Landscape,GIMP,MedLaplace,OptJarvis,Gauss7,Landscape_GIMP_ML_OptJarvis_GA7
Landscape,GIMP,MedLaplace,OptAtkinson,Gauss7,Landscape_GIMP_ML_OptAtkinson_GA7
Landscape,GIMP,MedLaplace,OptFloydSteinberg,Gauss7,Landscape_GIMP_ML_OptFloydSteinberg_GA7
Landscape,GIMP,MedLaplace,OptSierra,Gauss7,Landscape_GIMP_ML_OptSierra_GA7
